lat,lon,alt,speed,yaw,pitch,roll,id,timestamp
38.287617242,21.787577996,92.4,3.092,0.0,0,0,test,1745413248823
38.287617242,21.787577996,92.4,2.703,0.0,0,0,test,1745413249823
38.287617242,21.787577996,92.4,2.963,0.0,0,0,test,1745413250823
38.287617242,21.787577996,92.4,2.587,0.0,0,0,test,1745413251823
38.287617242,21.787577996,92.4,3.614,0.0,0,0,test,1745413252823
38.287617242,21.787577996,92.4,4.122,0.0,0,0,test,1745413253823
38.287617242,21.787577996,92.4,4.249,0.0,0,0,test,1745413254823
38.287617242,21.787577996,92.4,6.314,0.0,0,0,test,1745413255823
38.287617242,21.787577996,92.4,1.807,0.0,0,0,test,1745413256823
38.287617242,21.787577996,92.4,1.961,0.0,0,0,test,1745413257823
38.287617242,21.787577996,92.4,3.515,0.0,0,0,test,1745413258823
38.287617242,21.787577996,92.4,2.962,0.0,0,0,test,1745413259823
38.287617242,21.787577996,92.4,3.09,0.0,0,0,test,1745413260823
38.287617242,21.787577996,92.4,3.477,0.0,0,0,test,1745413261823
38.287617242,21.787577996,92.4,4.378,0.0,0,0,test,1745413262823
38.287617242,21.787577996,92.4,4.0,0.0,0,0,test,1745413263823
38.287617242,21.787577996,92.4,3.26,0.0,0,0,test,1745413264823
38.287617242,21.787577996,92.4,4.764,0.0,0,0,test,1745413265823
38.287617242,21.787577996,92.4,3.991,0.0,0,0,test,1745413266823
38.287617242,21.787577996,92.4,4.893,0.0,0,0,test,1745413267823
38.287617242,21.787577996,92.4,3.605,0.0,0,0,test,1745413268823
38.287617242,21.787577996,92.4,3.221,0.0,0,0,test,1745413269823
38.287617242,21.787577996,92.4,3.991,0.0,0,0,test,1745413270823
38.287617242,21.787577996,92.4,3.221,0.0,0,0,test,1745413271823
38.287617242,21.787577996,92.4,4.764,0.0,0,0,test,1745413272823
38.287617242,21.787577996,92.4,4.12,0.0,0,0,test,1745413273823
38.287617242,21.787577996,92.4,3.999,0.0,0,0,test,1745413274823
38.287617242,21.787577996,92.4,3.607,0.0,0,0,test,1745413275823
38.287617242,21.787577996,92.4,3.347,0.0,0,0,test,1745413276823
38.287617242,21.787577996,92.4,2.192,0.0,0,0,test,1745413277823
38.287617242,21.787577996,92.4,3.09,0.0,0,0,test,1745413278823
38.287617242,21.787577996,92.4,1.416,0.0,0,0,test,1745413279823
38.287617242,21.787577996,92.4,1.999,0.0,0,0,test,1745413280823
38.287617242,21.787577996,92.4,3.605,0.0,0,0,test,1745413281823
38.287617242,21.787577996,92.4,3.605,0.0,0,0,test,1745413282823
38.287617242,21.787577996,92.4,1.566,0.0,0,0,test,1745413283823
38.287617242,21.787577996,92.4,2.076,0.0,0,0,test,1745413284823
38.287617242,21.787577996,92.4,3.994,0.0,0,0,test,1745413285823
38.287617242,21.787577996,92.4,1.187,0.0,0,0,test,1745413286823
38.287617242,21.787577996,92.4,2.321,0.0,0,0,test,1745413287823
38.287617242,21.787577996,92.4,2.321,0.0,0,0,test,1745413288823
38.287617242,21.787577996,92.4,2.193,0.0,0,0,test,1745413289823
38.287617242,21.787577996,92.4,3.222,0.0,0,0,test,1745413290823
38.287617242,21.787577996,92.4,2.318,0.0,0,0,test,1745413291823
38.287617242,21.787577996,92.4,2.704,0.0,0,0,test,1745413292823
38.287617242,21.787577996,92.4,3.093,0.0,0,0,test,1745413293823
38.287617242,21.787577996,92.4,3.479,0.0,0,0,test,1745413294823
38.287617242,21.787577996,92.4,1.936,0.0,0,0,test,1745413295823
38.287617242,21.787577996,92.4,3.358,0.0,0,0,test,1745413296823
38.287617242,21.787577996,92.4,4.123,0.0,0,0,test,1745413297823
38.287617242,21.787577996,92.4,2.833,0.0,0,0,test,1745413298823
38.287617242,21.787577996,92.4,3.093,0.0,0,0,test,1745413299823
38.287617242,21.787577996,92.4,1.932,0.0,0,0,test,1745413300823
38.287617242,21.787577996,92.4,1.936,0.0,0,0,test,1745413301823
38.287617242,21.787577996,92.4,2.318,0.0,0,0,test,1745413302823
38.287617242,21.787577996,92.4,2.579,0.0,0,0,test,1745413303823
38.287617242,21.787577996,92.4,2.064,0.0,0,0,test,1745413304823
38.287617242,21.787577996,92.4,2.579,0.0,0,0,test,1745413305823
38.287617242,21.787577996,92.4,2.707,0.0,0,0,test,1745413306823
38.287617242,21.787577996,92.4,2.707,0.0,0,0,test,1745413307823
38.287617242,21.787577996,92.4,2.704,0.0,0,0,test,1745413308823
38.287617242,21.787577996,92.4,2.704,0.0,0,0,test,1745413309823
38.287617242,21.787577996,92.4,2.06,0.0,0,0,test,1745413310823
38.287617242,21.787577996,92.4,2.589,0.0,0,0,test,1745413311823
38.287617242,21.787577996,92.4,2.579,0.0,0,0,test,1745413312823
38.287617242,21.787577996,92.4,1.545,0.0,0,0,test,1745413313823
38.287617242,21.787577996,92.4,2.189,0.0,0,0,test,1745413314823
38.287617242,21.787577996,92.4,1.808,0.0,0,0,test,1745413315823
38.287617242,21.787577996,92.4,1.803,0.0,0,0,test,1745413316823
38.287617242,21.787577996,92.4,1.222,0.0,0,0,test,1745413317823
38.287617242,21.787577996,92.4,1.222,0.0,0,0,test,1745413318823
